Time, ManagementArea, Prescription, TotalDamagedSites, TotalCohortsKilled, TotalCohortsDamaged, CohortsKilledByabiebals, CohortsKilledByacernegu, CohortsKilledByacerrubr, CohortsKilledByacersacc, CohortsKilledByacerspic, CohortsKilledBybetualle, CohortsKilledBybetupapy, CohortsKilledByceltis, CohortsKilledByfraxamer, CohortsKilledByfraxnigr, CohortsKilledByfraxpenn, CohortsKilledBylarilari, CohortsKilledByostrvirg, CohortsKilledBypiceglau, CohortsKilledBypicemari, CohortsKilledBypinubank, CohortsKilledBypinuresi, CohortsKilledBypinustro, CohortsKilledBypopubals, CohortsKilledBypopudelt, CohortsKilledBypopugran, CohortsKilledBypoputrem, CohortsKilledByprunpens, CohortsKilledByprunsero, CohortsKilledByprunvirg, CohortsKilledByqueralba, CohortsKilledByquerelli, CohortsKilledByquermacr, CohortsKilledByquerrubr, CohortsKilledBysalix, CohortsKilledBythujocci, CohortsKilledBytiliamer, CohortsKilledByulmuamer, CohortsKilledByulmurubr, 
5, 1, JPine_Clearcut, 121, 919, 0, 13, 0, 18, 1, 0, 0, 72, 0, 0, 26, 2, 3, 1, 44, 6, 365, 101, 30, 12, 0, 34, 127, 0, 1, 0, 0, 2, 24, 5, 0, 0, 7, 25, 0, 
5, 1, CNF_RPine_Clearcut, 54, 1130, 0, 22, 0, 1, 2, 0, 0, 196, 0, 0, 6, 1, 1, 11, 68, 9, 54, 507, 123, 4, 0, 30, 76, 0, 2, 0, 0, 0, 1, 0, 0, 13, 0, 3, 0, 
5, 1, CNF_SpruceFir, 283, 4214, 0, 358, 0, 56, 23, 0, 0, 573, 0, 0, 14, 2, 9, 99, 477, 40, 29, 80, 31, 114, 0, 72, 2054, 1, 20, 0, 0, 1, 13, 13, 2, 13, 11, 109, 0, 
5, 1, Aspen_Clearcut, 575, 8315, 0, 118, 0, 71, 24, 1, 2, 1292, 0, 0, 71, 41, 20, 254, 164, 96, 15, 99, 111, 1129, 0, 612, 3604, 2, 40, 0, 0, 0, 77, 24, 2, 10, 25, 411, 0, 
5, 1, Oak_Clearcut, 54, 672, 0, 0, 0, 83, 9, 0, 0, 68, 0, 0, 33, 30, 0, 7, 0, 6, 1, 21, 3, 0, 0, 38, 59, 0, 4, 0, 0, 7, 175, 107, 2, 0, 5, 14, 0, 
5, 1, LowlandConifer_Clearcut, 56, 870, 0, 45, 0, 1, 0, 0, 0, 43, 0, 0, 2, 0, 21, 0, 2, 693, 0, 2, 7, 8, 0, 0, 27, 0, 0, 0, 0, 0, 6, 0, 0, 0, 8, 5, 0, 
5, 1, Oak_Shelter, 416, 3422, 557, 96, 2, 652, 59, 0, 0, 595, 0, 1, 241, 232, 16, 79, 0, 31, 21, 122, 0, 40, 0, 135, 570, 0, 5, 0, 1, 3, 553, 367, 8, 0, 0, 150, 0, 
5, 1, Pine_Unevenaged, 42, 434, 543, 0, 0, 0, 3, 0, 0, 168, 0, 0, 0, 0, 0, 18, 26, 3, 12, 210, 314, 9, 0, 74, 138, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 
5, 1, Oak_Unevenaged, 61, 597, 53, 7, 0, 12, 36, 0, 0, 130, 0, 0, 36, 3, 8, 9, 0, 13, 27, 24, 0, 24, 0, 49, 136, 0, 3, 0, 46, 0, 7, 63, 0, 0, 0, 17, 0, 
5, 1, Hardwoods_Unevenaged, 169, 0, 484, 0, 0, 32, 97, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 130, 0, 0, 211, 6, 0, 
5, 1, Thinning_RedPine, 41, 196, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 196, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
5, 1, Thinning_PineHard, 442, 8, 1429, 0, 0, 14, 29, 0, 2, 0, 0, 0, 92, 0, 0, 0, 429, 0, 0, 570, 269, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 23, 1, 0, 
5, 1, Thinning_Aspen, 147, 49, 307, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 49, 299, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 
5, 4, JPine_Clearcut, 10, 67, 0, 5, 0, 1, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 3, 0, 29, 4, 1, 2, 0, 0, 8, 0, 0, 0, 0, 0, 9, 0, 0, 3, 0, 0, 0, 
5, 4, CNF_RPine_Clearcut, 5, 38, 0, 0, 0, 2, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 3, 0, 0, 0, 11, 1, 0, 0, 0, 0, 1, 3, 1, 0, 0, 0, 0, 
5, 4, CNF_SpruceFir, 12, 93, 0, 2, 0, 6, 4, 0, 0, 0, 0, 0, 0, 5, 0, 3, 5, 0, 0, 12, 3, 4, 0, 3, 24, 0, 2, 0, 0, 0, 7, 8, 0, 0, 1, 4, 0, 
